#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABHD5	PLIN2	9606.ENSP00000495778	9606.ENSP00000276914	0	0	0	0	0.067	0.182	0	0.877	0.898
ABHD5	PDE3B	9606.ENSP00000495778	9606.ENSP00000282096	0	0	0	0	0.044	0	0	0.398	0.400
ABHD5	PPARG	9606.ENSP00000495778	9606.ENSP00000287820	0	0	0	0	0.056	0.045	0	0.487	0.497
ABHD5	PLIN1	9606.ENSP00000495778	9606.ENSP00000300055	0	0	0	0	0.055	0.646	0.900	0.995	0.999
ABHD5	MBOAT2	9606.ENSP00000495778	9606.ENSP00000302177	0	0	0	0	0.075	0	0	0.391	0.412
ABHD5	CIDEA	9606.ENSP00000495778	9606.ENSP00000320209	0	0	0	0	0.042	0	0	0.419	0.419
ABHD5	PNPLA2	9606.ENSP00000495778	9606.ENSP00000337701	0	0	0	0	0.054	0.569	0.900	0.999	0.999
ABHD5	HSD17B11	9606.ENSP00000495778	9606.ENSP00000351035	0	0	0	0	0.075	0.084	0.116	0.355	0.452
ABHD5	G0S2	9606.ENSP00000495778	9606.ENSP00000355996	0	0	0	0	0.044	0	0	0.736	0.737
ABHD5	SCD	9606.ENSP00000495778	9606.ENSP00000359380	0	0	0	0	0	0	0	0.400	0.400
ABHD5	AGPAT2	9606.ENSP00000495778	9606.ENSP00000360761	0	0	0	0	0.087	0.067	0	0.477	0.516
ABHD5	CIDEC	9606.ENSP00000495778	9606.ENSP00000373328	0	0	0	0	0.042	0	0	0.631	0.631
ABHD5	HSDL2	9606.ENSP00000495778	9606.ENSP00000381785	0.075	0	0	0	0.264	0.084	0.116	0.131	0.434
ABHD5	CD36	9606.ENSP00000495778	9606.ENSP00000415743	0	0	0	0	0.083	0	0	0.401	0.428
ABHD5	ACSL1	9606.ENSP00000495778	9606.ENSP00000422607	0	0	0	0	0.248	0.071	0.151	0.345	0.560
ABHD5	PLIN4	9606.ENSP00000495778	9606.ENSP00000488481	0	0	0	0	0.058	0.088	0	0.627	0.652
ABHD5	LPL	9606.ENSP00000495778	9606.ENSP00000497642	0	0	0	0	0.047	0	0	0.436	0.440
ABI3BP	CCDC80	9606.ENSP00000284322	9606.ENSP00000206423	0	0	0	0	0.342	0	0	0.166	0.428
ABI3BP	OLFML1	9606.ENSP00000284322	9606.ENSP00000332511	0	0	0	0	0.181	0	0	0.304	0.406
ABI3BP	MAMDC2	9606.ENSP00000284322	9606.ENSP00000366387	0	0	0	0	0.146	0	0	0.356	0.427
ABLIM1	HACD3	9606.ENSP00000277895	9606.ENSP00000261875	0	0	0	0	0.055	0	0	0.392	0.401
ABLIM1	CELF2	9606.ENSP00000277895	9606.ENSP00000488422	0	0	0	0	0.064	0	0	0.407	0.421
ABLIM1	BIN1	9606.ENSP00000277895	9606.ENSP00000316779	0	0	0	0	0.125	0	0	0.386	0.441
ABLIM1	NEXN	9606.ENSP00000277895	9606.ENSP00000333938	0	0	0	0	0	0	0	0.451	0.451
ABLIM1	FYN	9606.ENSP00000277895	9606.ENSP00000346671	0	0	0	0	0.080	0	0.500	0.077	0.538
ABLIM1	DCAF7	9606.ENSP00000277895	9606.ENSP00000483236	0	0	0	0	0.044	0.091	0	0.551	0.576
ABLIM1	ABLIM3	9606.ENSP00000277895	9606.ENSP00000425394	0	0	0	0.947	0.057	0	0.900	0.370	0.935
ABLIM3	AFAP1L1	9606.ENSP00000425394	9606.ENSP00000296721	0	0.004	0	0	0.127	0	0	0.501	0.546
ABLIM3	NEXN	9606.ENSP00000425394	9606.ENSP00000333938	0	0	0	0	0.073	0	0	0.415	0.434
ABLIM3	FYN	9606.ENSP00000425394	9606.ENSP00000346671	0	0	0	0	0	0	0.500	0	0.499
ABLIM3	PTPRM	9606.ENSP00000425394	9606.ENSP00000463325	0	0	0	0	0.118	0	0	0.448	0.492
ACAA2	PDK4	9606.ENSP00000285093	9606.ENSP00000005178	0	0	0	0	0.074	0	0	0.449	0.468
ACAA2	PYGL	9606.ENSP00000285093	9606.ENSP00000216392	0	0	0	0	0.108	0	0	0.373	0.417
ACAA2	ACADL	9606.ENSP00000285093	9606.ENSP00000233710	0.054	0	0	0	0.326	0.098	0.918	0.636	0.979
ACAA2	LIPE	9606.ENSP00000285093	9606.ENSP00000244289	0	0	0	0	0.080	0	0	0.418	0.442
ACAA2	ACSS2	9606.ENSP00000285093	9606.ENSP00000253382	0.055	0	0	0	0.250	0	0.836	0.493	0.933
ACAA2	ALDH2	9606.ENSP00000285093	9606.ENSP00000261733	0	0	0	0	0.148	0.046	0.214	0.465	0.613
ACAA2	PECR	9606.ENSP00000285093	9606.ENSP00000265322	0.044	0	0	0	0.196	0.094	0.182	0.253	0.497
ACAA2	ACAT1	9606.ENSP00000285093	9606.ENSP00000265838	0	0	0.107	0.866	0.258	0.440	0.900	0.165	0.963
ACAA2	SQLE	9606.ENSP00000285093	9606.ENSP00000265896	0.041	0	0	0	0.055	0	0	0.492	0.500
ACAA2	PCK1	9606.ENSP00000285093	9606.ENSP00000319814	0	0	0	0	0.104	0	0	0.365	0.406
ACAA2	CTIF	9606.ENSP00000285093	9606.ENSP00000372459	0	0	0	0	0	0	0	0.412	0.412
ACAA2	ASS1	9606.ENSP00000285093	9606.ENSP00000361471	0	0	0	0	0.066	0	0	0.407	0.423
ACAA2	ALDH1A1	9606.ENSP00000285093	9606.ENSP00000297785	0	0	0	0	0.112	0.046	0.214	0.246	0.431
ACAA2	NDUFS1	9606.ENSP00000285093	9606.ENSP00000392709	0	0	0	0	0.117	0.071	0	0.374	0.442
ACAA2	FBP1	9606.ENSP00000285093	9606.ENSP00000408025	0	0	0	0	0.169	0	0	0.360	0.445
ACAA2	ALDH4A1	9606.ENSP00000285093	9606.ENSP00000364490	0	0	0	0	0.111	0	0.214	0.270	0.446
ACAA2	ME1	9606.ENSP00000285093	9606.ENSP00000358719	0.050	0	0	0	0.048	0	0.286	0.265	0.461
ACAA2	SCD	9606.ENSP00000285093	9606.ENSP00000359380	0	0	0	0	0.049	0	0	0.471	0.476
ACAA2	PC	9606.ENSP00000285093	9606.ENSP00000498994	0	0	0	0	0.053	0	0	0.492	0.499
ACAA2	TKT	9606.ENSP00000285093	9606.ENSP00000391481	0	0	0	0	0.112	0.209	0	0.361	0.513
ACAA2	ACO1	9606.ENSP00000285093	9606.ENSP00000309477	0	0	0	0	0.169	0.091	0	0.409	0.515
ACAA2	ACSM5	9606.ENSP00000285093	9606.ENSP00000327916	0.055	0	0	0	0.249	0	0.217	0.246	0.525
ACAA2	ACACB	9606.ENSP00000285093	9606.ENSP00000341044	0.042	0	0	0	0.060	0	0.307	0.421	0.590
ACAA2	ACOX2	9606.ENSP00000285093	9606.ENSP00000307697	0.054	0	0	0	0.338	0.051	0.216	0.290	0.609
ACAA2	IDH2	9606.ENSP00000285093	9606.ENSP00000331897	0.042	0	0	0	0.208	0.132	0	0.486	0.616
ACAA2	CD36	9606.ENSP00000285093	9606.ENSP00000415743	0	0	0	0	0.086	0	0	0.605	0.623
ACAA2	PKM	9606.ENSP00000285093	9606.ENSP00000320171	0	0	0	0	0.074	0.162	0	0.597	0.660
ACAA2	PDHA1	9606.ENSP00000285093	9606.ENSP00000369134	0	0	0	0	0.140	0	0	0.650	0.687
ACAA2	ETFB	9606.ENSP00000285093	9606.ENSP00000346173	0.102	0	0	0	0.382	0.099	0	0.537	0.738
ACAA2	ACSL1	9606.ENSP00000285093	9606.ENSP00000422607	0.057	0	0	0	0.115	0.066	0	0.760	0.788
ACAA2	ETFDH	9606.ENSP00000285093	9606.ENSP00000426638	0.057	0	0	0	0.561	0.099	0	0.552	0.810
ACAA2	HSDL2	9606.ENSP00000285093	9606.ENSP00000381785	0.117	0	0	0	0.320	0.099	0.797	0.373	0.918
ACAA2	ACSS3	9606.ENSP00000285093	9606.ENSP00000449535	0.055	0	0	0	0.249	0	0.836	0.449	0.927
ACAA2	ECHDC1	9606.ENSP00000285093	9606.ENSP00000436585	0.054	0	0	0	0.374	0.296	0.836	0.470	0.957
ACAA2	HADH	9606.ENSP00000285093	9606.ENSP00000474560	0.079	0.054	0	0	0.599	0.536	0.352	0.677	0.958
ACACB	PDK4	9606.ENSP00000341044	9606.ENSP00000005178	0	0	0	0	0.092	0.091	0	0.435	0.493
ACACB	DGAT2	9606.ENSP00000341044	9606.ENSP00000228027	0	0	0	0	0.062	0	0	0.571	0.581
ACACB	ACADL	9606.ENSP00000341044	9606.ENSP00000233710	0.043	0	0	0	0.074	0	0.265	0.490	0.623
ACACB	LIPE	9606.ENSP00000341044	9606.ENSP00000244289	0.042	0	0	0	0.131	0	0	0.513	0.559
ACACB	ACSS2	9606.ENSP00000341044	9606.ENSP00000253382	0.055	0	0	0	0.123	0.069	0.900	0.568	0.960
ACACB	FABP4	9606.ENSP00000341044	9606.ENSP00000256104	0	0	0	0	0.119	0	0	0.438	0.483
ACACB	CCNB1	9606.ENSP00000341044	9606.ENSP00000256442	0	0	0	0	0	0.066	0	0.426	0.440
ACACB	PPAT	9606.ENSP00000341044	9606.ENSP00000264220	0	0	0	0	0.110	0	0.792	0.125	0.823
ACACB	GPAM	9606.ENSP00000341044	9606.ENSP00000265276	0	0	0	0	0.250	0	0	0.531	0.634
ACACB	PECR	9606.ENSP00000341044	9606.ENSP00000265322	0.045	0	0	0	0.121	0.052	0.174	0.375	0.515
ACACB	ACAT1	9606.ENSP00000341044	9606.ENSP00000265838	0.042	0	0	0	0.073	0	0.927	0.355	0.953
ACACB	THRSP	9606.ENSP00000341044	9606.ENSP00000281030	0	0	0	0	0.143	0.139	0	0.589	0.670
ACACB	PPARG	9606.ENSP00000341044	9606.ENSP00000287820	0	0	0	0	0.064	0	0	0.490	0.503
ACACB	PLIN1	9606.ENSP00000341044	9606.ENSP00000300055	0	0	0	0	0.196	0	0	0.377	0.478
ACACB	GPD1	9606.ENSP00000341044	9606.ENSP00000301149	0	0	0	0	0.152	0	0	0.467	0.528
ACACB	ACOX2	9606.ENSP00000341044	9606.ENSP00000307697	0.043	0	0	0	0.055	0	0.265	0.321	0.488
ACACB	LEP	9606.ENSP00000341044	9606.ENSP00000312652	0	0	0	0	0.183	0	0	0.573	0.636
ACACB	PCK1	9606.ENSP00000341044	9606.ENSP00000319814	0	0	0	0	0.097	0	0	0.456	0.487
ACACB	PKM	9606.ENSP00000341044	9606.ENSP00000320171	0.042	0	0	0	0.103	0	0	0.366	0.407
ACACB	ALDH1A3	9606.ENSP00000341044	9606.ENSP00000332256	0	0	0	0	0	0.063	0	0.418	0.431
ACACB	PNPLA2	9606.ENSP00000341044	9606.ENSP00000337701	0	0	0	0	0.100	0	0	0.504	0.534
ACACB	ALDOC	9606.ENSP00000341044	9606.ENSP00000378731	0	0	0	0	0.054	0	0	0.404	0.412
ACACB	LPL	9606.ENSP00000341044	9606.ENSP00000497642	0	0	0	0	0.083	0	0	0.402	0.428
ACACB	ECHDC1	9606.ENSP00000341044	9606.ENSP00000436585	0.045	0	0	0	0	0	0.278	0.238	0.429
ACACB	ACSS3	9606.ENSP00000341044	9606.ENSP00000449535	0.055	0	0	0	0.123	0.069	0	0.355	0.435
ACACB	EPRS1	9606.ENSP00000341044	9606.ENSP00000355890	0.048	0	0	0	0.235	0.109	0	0.248	0.446
ACACB	ADIPOQ	9606.ENSP00000341044	9606.ENSP00000389814	0	0	0	0	0.131	0	0	0.392	0.449
ACACB	HADH	9606.ENSP00000341044	9606.ENSP00000474560	0.047	0	0	0	0.109	0	0	0.414	0.459
ACACB	PAICS	9606.ENSP00000341044	9606.ENSP00000382595	0.116	0	0	0	0	0	0.363	0.131	0.467
ACACB	HSDL2	9606.ENSP00000341044	9606.ENSP00000381785	0.095	0	0	0	0.124	0.052	0.174	0.292	0.481
ACACB	CD36	9606.ENSP00000341044	9606.ENSP00000415743	0	0	0	0	0.109	0	0	0.506	0.541
ACACB	MTHFD2	9606.ENSP00000341044	9606.ENSP00000377617	0.107	0	0	0	0.097	0	0	0.514	0.574
ACACB	ME1	9606.ENSP00000341044	9606.ENSP00000358719	0	0	0	0	0.123	0.071	0.152	0.525	0.628
ACACB	PC	9606.ENSP00000341044	9606.ENSP00000498994	0	0	0	0.597	0.203	0	0.284	0.535	0.712
ACACB	ACSL1	9606.ENSP00000341044	9606.ENSP00000422607	0	0	0	0	0.110	0	0	0.717	0.737
ACACB	SCD	9606.ENSP00000341044	9606.ENSP00000359380	0	0	0	0	0.299	0	0	0.664	0.754
ACACB	ASS1	9606.ENSP00000341044	9606.ENSP00000361471	0	0	0	0	0	0	0.792	0.125	0.810
ACADL	PDK4	9606.ENSP00000233710	9606.ENSP00000005178	0	0	0	0	0.102	0	0	0.607	0.632
ACADL	DGAT2	9606.ENSP00000233710	9606.ENSP00000228027	0	0	0	0	0.057	0	0	0.439	0.449
ACADL	PLIN1	9606.ENSP00000233710	9606.ENSP00000300055	0	0	0	0	0.079	0.053	0	0.368	0.401
ACADL	PC	9606.ENSP00000233710	9606.ENSP00000498994	0.042	0	0	0	0.050	0	0.116	0.357	0.414
ACADL	ACSS3	9606.ENSP00000233710	9606.ENSP00000449535	0.044	0	0	0	0.227	0	0.187	0.149	0.420
ACADL	GPAM	9606.ENSP00000233710	9606.ENSP00000265276	0	0	0	0	0.065	0	0	0.410	0.424
ACADL	ENPP2	9606.ENSP00000233710	9606.ENSP00000259486	0	0	0	0	0.048	0.045	0	0.435	0.441
ACADL	ALDH4A1	9606.ENSP00000233710	9606.ENSP00000364490	0.042	0	0	0	0.128	0	0.182	0.287	0.448
ACADL	FABP4	9606.ENSP00000233710	9606.ENSP00000256104	0	0	0	0	0.071	0.058	0	0.442	0.469
ACADL	IRS2	9606.ENSP00000233710	9606.ENSP00000365016	0	0	0	0	0.051	0.051	0	0.467	0.479
ACADL	LPL	9606.ENSP00000233710	9606.ENSP00000497642	0	0	0	0	0.070	0	0	0.471	0.487
ACADL	SCD	9606.ENSP00000233710	9606.ENSP00000359380	0	0	0	0	0	0	0	0.492	0.492
ACADL	PECR	9606.ENSP00000233710	9606.ENSP00000265322	0.042	0	0	0	0.142	0.093	0.174	0.321	0.506
ACADL	PNPLA2	9606.ENSP00000233710	9606.ENSP00000337701	0	0	0	0	0	0	0	0.512	0.512
ACADL	ACSM5	9606.ENSP00000233710	9606.ENSP00000327916	0.044	0	0	0	0.224	0	0.187	0.292	0.516
ACADL	ACOX2	9606.ENSP00000233710	9606.ENSP00000307697	0	0	0	0	0.111	0	0	0.481	0.519
ACADL	ALDH2	9606.ENSP00000233710	9606.ENSP00000261733	0.042	0	0	0	0.133	0	0.182	0.379	0.522
ACADL	PPARG	9606.ENSP00000233710	9606.ENSP00000287820	0	0	0	0	0.049	0	0	0.531	0.535
ACADL	IDH2	9606.ENSP00000233710	9606.ENSP00000331897	0	0	0	0	0.083	0.082	0	0.498	0.541
ACADL	LIPE	9606.ENSP00000233710	9606.ENSP00000244289	0.045	0	0	0	0.106	0	0	0.506	0.542
ACADL	ACSS2	9606.ENSP00000233710	9606.ENSP00000253382	0.044	0	0	0	0.189	0	0.187	0.420	0.585
ACADL	ECHDC1	9606.ENSP00000233710	9606.ENSP00000436585	0.046	0	0	0	0.299	0.091	0.185	0.302	0.591
ACADL	CD36	9606.ENSP00000233710	9606.ENSP00000415743	0	0	0	0	0.088	0	0	0.591	0.611
ACADL	PCK1	9606.ENSP00000233710	9606.ENSP00000319814	0	0	0	0	0.100	0	0	0.592	0.617
ACADL	ACAT1	9606.ENSP00000233710	9606.ENSP00000265838	0.054	0	0	0	0.329	0.051	0.216	0.411	0.671
ACADL	PLIN2	9606.ENSP00000233710	9606.ENSP00000276914	0	0	0	0	0.084	0.053	0	0.714	0.730
ACADL	ETFDH	9606.ENSP00000233710	9606.ENSP00000426638	0.070	0	0	0	0.264	0.099	0	0.632	0.743
ACADL	HSDL2	9606.ENSP00000233710	9606.ENSP00000381785	0.107	0	0	0	0.211	0.099	0.643	0.185	0.781
ACADL	ETFB	9606.ENSP00000233710	9606.ENSP00000346173	0.070	0	0	0	0.340	0.436	0.233	0.435	0.822
ACADL	ACSL1	9606.ENSP00000233710	9606.ENSP00000422607	0.050	0	0	0	0.160	0.071	0.189	0.814	0.868
ACADL	HADH	9606.ENSP00000233710	9606.ENSP00000474560	0.057	0.017	0	0	0.394	0.099	0.265	0.754	0.890
ACAT1	ACSS2	9606.ENSP00000265838	9606.ENSP00000253382	0.055	0	0	0	0.247	0	0.918	0.404	0.960
ACAT1	ALDH2	9606.ENSP00000265838	9606.ENSP00000261733	0	0	0	0	0.143	0	0.214	0.189	0.406
ACAT1	PC	9606.ENSP00000265838	9606.ENSP00000498994	0	0	0	0	0.053	0	0	0.397	0.405
ACAT1	PKM	9606.ENSP00000265838	9606.ENSP00000320171	0	0	0	0	0.098	0.162	0	0.293	0.419
ACAT1	DHCR7	9606.ENSP00000265838	9606.ENSP00000347717	0	0	0	0	0.103	0	0	0.380	0.421
ACAT1	ACSL1	9606.ENSP00000265838	9606.ENSP00000422607	0.057	0	0	0	0.122	0.066	0	0.348	0.428
ACAT1	ALDH4A1	9606.ENSP00000265838	9606.ENSP00000364490	0	0	0	0	0.105	0	0.214	0.252	0.429
ACAT1	PLIN2	9606.ENSP00000265838	9606.ENSP00000276914	0	0	0	0	0.065	0.046	0	0.411	0.429
ACAT1	ACO1	9606.ENSP00000265838	9606.ENSP00000309477	0	0	0	0	0.163	0.096	0	0.336	0.454
ACAT1	ME1	9606.ENSP00000265838	9606.ENSP00000358719	0.050	0	0	0	0.059	0	0.286	0.260	0.464
ACAT1	ACSM5	9606.ENSP00000265838	9606.ENSP00000327916	0.055	0	0	0	0.247	0	0.217	0.168	0.475
ACAT1	IDH2	9606.ENSP00000265838	9606.ENSP00000331897	0.042	0	0	0	0.124	0.143	0	0.408	0.517
ACAT1	ACSS3	9606.ENSP00000265838	9606.ENSP00000449535	0.055	0	0	0	0.262	0	0.217	0.260	0.542
ACAT1	ETFDH	9606.ENSP00000265838	9606.ENSP00000426638	0.057	0	0	0	0.358	0.099	0	0.312	0.575
ACAT1	ETFB	9606.ENSP00000265838	9606.ENSP00000346173	0.102	0	0	0	0.252	0.090	0	0.387	0.575
ACAT1	ACOX2	9606.ENSP00000265838	9606.ENSP00000307697	0.054	0	0	0	0.340	0.051	0.216	0.244	0.585
ACAT1	SQLE	9606.ENSP00000265838	9606.ENSP00000265896	0.041	0	0	0	0.196	0	0	0.597	0.662
ACAT1	PDHA1	9606.ENSP00000265838	9606.ENSP00000369134	0	0	0	0	0.283	0.359	0	0.345	0.673
ACAT1	ECHDC1	9606.ENSP00000265838	9606.ENSP00000436585	0.054	0	0	0	0.365	0.296	0.216	0.265	0.712
ACAT1	HSDL2	9606.ENSP00000265838	9606.ENSP00000381785	0.117	0	0	0	0.347	0.067	0.797	0.295	0.909
ACAT1	HADH	9606.ENSP00000265838	9606.ENSP00000474560	0.079	0.019	0	0	0.652	0.481	0.352	0.496	0.935
ACKR1	CCL2	9606.ENSP00000357103	9606.ENSP00000225831	0	0	0	0	0.049	0.292	0	0.993	0.994
ACKR1	CCL13	9606.ENSP00000357103	9606.ENSP00000225844	0	0	0	0	0.074	0	0	0.574	0.588
ACKR1	NECTIN2	9606.ENSP00000357103	9606.ENSP00000252483	0	0	0	0	0	0	0	0.986	0.986
ACKR1	GYPC	9606.ENSP00000357103	9606.ENSP00000259254	0	0	0	0	0.183	0	0	0.856	0.877
ACKR1	VWF	9606.ENSP00000357103	9606.ENSP00000261405	0	0	0	0	0.254	0	0	0.358	0.501
ACKR1	SELP	9606.ENSP00000357103	9606.ENSP00000263686	0	0	0	0	0.399	0	0	0.204	0.501
ACKR1	FGF7	9606.ENSP00000357103	9606.ENSP00000267843	0	0	0	0	0.072	0	0	0.460	0.477
ACKR1	ERBB2	9606.ENSP00000357103	9606.ENSP00000269571	0	0	0	0	0	0	0	0.422	0.422
ACKR1	ACKR3	9606.ENSP00000357103	9606.ENSP00000272928	0	0	0	0	0	0	0	0.621	0.621
ACKR1	CD34	9606.ENSP00000357103	9606.ENSP00000310036	0	0	0	0	0.126	0	0	0.350	0.408
ACKR1	APLNR	9606.ENSP00000357103	9606.ENSP00000475344	0	0	0	0	0.246	0	0	0.250	0.410
ACKR1	CLDN5	9606.ENSP00000357103	9606.ENSP00000385477	0	0	0	0	0.252	0	0	0.263	0.425
ACKR1	CXCL12	9606.ENSP00000357103	9606.ENSP00000379140	0	0	0	0	0.118	0	0	0.431	0.476
ACKR1	CXCL2	9606.ENSP00000357103	9606.ENSP00000427279	0	0	0	0	0.043	0	0	0.504	0.505
ACKR1	IL33	9606.ENSP00000357103	9606.ENSP00000370842	0	0	0	0	0.186	0	0	0.426	0.512
ACKR1	CCL8	9606.ENSP00000357103	9606.ENSP00000378118	0	0	0	0	0.061	0	0	0.533	0.542
ACKR1	IL6	9606.ENSP00000357103	9606.ENSP00000385675	0	0	0	0	0.049	0	0	0.612	0.615
ACKR1	HBB	9606.ENSP00000357103	9606.ENSP00000494175	0	0	0	0	0.129	0	0	0.578	0.617
ACKR3	MIF	9606.ENSP00000272928	9606.ENSP00000215754	0	0	0	0	0.049	0	0	0.716	0.718
ACKR3	CCL2	9606.ENSP00000272928	9606.ENSP00000225831	0	0	0	0	0.068	0	0	0.400	0.417
ACKR3	CCL13	9606.ENSP00000272928	9606.ENSP00000225844	0	0	0	0	0.044	0	0.500	0.461	0.720
